"pid";"position";"company";"status";"fetcher_leads";"extension_leads"
9731;Account Specialist;Katalys Talent Acquisition Consulting;On hold;10;0
9734;VP Finance, Planning & Analysis;Local Logic;Open;30;0
9737;Senior Data Engineer;Hipcamp;Open;25;1
9739;Software Engineer;Ribbon Home;Open;30;0
9753;QA (Video Expertise);Frame.io;Closed;0;1
9763;Director of Loyalty and Rewards;PerkSpot;Closed;10;0
9768;Member Experience Coordinator;Small Door ;On hold;20;0
9769;Member Experience Lead;Small Door ;Closed;40;0
9770;Member Experience Manager;Small Door ;Open;20;0
9773;Head of Talent Acquisition;Small Door ;On hold;40;0
9777;Software Engineering Manager - Karlsruhe (Germany);Coupa Software;On hold;30;0
9779;Manager, Business Development;ShipBob, Inc.;On hold;10;0
9781;Sr. HR Business Partner;Loadsmart;On hold;40;0
9782;Technical Account Manager;zeotap;On hold;20;0
9783;Solutions Engineer (France);zeotap;Open;50;7
9791;Germany - Java Software Engineer;SQLI Digital Expertise;Open;40;0
9801;People Partner - GTM;Ribbon Home;Closed;40;0
9802;Build and Infrastructure Engineer;Neo4j;On hold;40;1
9804;Nextiva - AE - (WT-1);Wednesday Talent;Closed;30;0
9807;Manager, Customer Success;Hyperscience;On hold;0;1
9818;Full Stack Developer;M9 Solutions;Open;40;0
9825;Senior JavaScript Engineer, Consumer;CarGurus;On hold;10;0
9826;System / DevOps Engineer;M9 Solutions;Closed;10;0
9828;ta-manager;Loadsmart;New;0;3
9837;Data Eng - Frank/Ajanta/DaveB - NYC/SEA search;Foursquare;Open;20;0
9838;ChrisGW - Sr LA Eng search;Foursquare;Open;30;0
9839;Frank Ad Tech NY/SEA search;Foursquare;Open;30;0
9841;SMB Account Executive;Levelset;Open;40;0
9843;Technical Architect;Coupa Software;Open;40;0
9848;Developer Tooling Engineering Manager;Wealthsimple;Open;30;0
9851;HR Associate [Remote or NYC];CircleLink Health;On hold;10;0
9858;Remote Coder- East Coast;agilon health;On hold;10;0
9862;Digital Marketing Manager;Zigzag;On hold;40;0
9866;Investment Banker;Sagana;New;0;4
9867;Edge Engineering Manager;Wealthsimple;Open;30;1
9869;Business Development Manager;Lorient Capital;Closed;15;0
9877;UK  - Enterprise Account Director;Coupa Software;On hold;39;0
9885;Senior Business Analyst;Kadiant;On hold;30;0
9892;Product Manager;Veho;On hold;40;0
9902;Client Trainer;Ribbon Home;On hold;10;0
9907;Sr. Applications Engineer;Emerald Cloud Lab;Open;100;0
9908;Private Equity Associate;Lorient Capital;Open;34;0
9911;Jr. Applications Engineer;Emerald Cloud Lab;Open;40;0
9921;Principal Communications Engineer;Amana Recruitment & Consulting;On hold;10;0
9923;Outstanding Foods - East Coast Sales;People Principles LLC;Closed;0;4
9934;Lead Data Engineer;Gore Mutual Insurance;On hold;20;0
9938;SEO & Content Manager;Chapter;Closed;30;0
9941;DevOps Engineers!;Coltech.io;Closed;0;1
9945;Data Engineer;Initi8 Recruitment;On hold;20;0
9953;Product Marketing Manager;ReadMe;Closed;10;0
9960;Senior Labour Relations Advisor;Race21™;Open;8;0
9961;Customer Success Manager;RippleMatch;Open;19;0
9963;Community Manager;Ghostline Kitchen;On hold;10;0
9965;Senior Accountant;Anagram;Open;20;0
9966;GCR Manager, CAN;Hipcamp;Open;10;1
9971;(Remote) QA Automation Engineer;Packlink;Closed;20;0
9973;Contract Management Specialist;Coupa Software;Open;15;0
9982;Talent Acquisition Specialist;Behr Paint;On hold;10;0
9987;Account Executive;Reprise;On hold;40;0
9991;Remote Fullstack Developer - PHP/React;MobyMax;Open;40;0
9992;QA Lead Engineer;Fetcher;Open;40;0
10001;Principal QA Engineer;JumpCloud;Closed;30;0
10002;Software Engineer;Coupa Software;On hold;50;0
10003;Operations Director;Fresh Prints;On hold;20;0
10004;Cyber Security Specialist;Gore Mutual Insurance;On hold;30;0
10005;Strategic Account Executive;MakerSights;Open;40;0
10008;Business Development Representative (BDR), London;MakerSights;On hold;40;0
10020;Presales Engineer;OpenMarket;Open;40;0
10021;Deal Analyst;Rowan International;On hold;10;0
10025;Director of Marketing;MakerSights;Closed;40;0
10027;UX Researcher;RMG Digital;Open;40;0
10029;Engineering Manager, iOS;Ribbon Home;Open;40;0
10031;Senior Analytics Engineer;Ribbon Home;Open;40;0
10036;SEO Manager;Hipcamp;On hold;10;0
10040;Senior Software Developer in Test;Socotra;Open;40;1
10041;Security Engineer;Escalon Services;Open;40;0
10042;SDE;Escalon Services;Open;40;0
10048;Director, Business Value Engineering;Coupa Software;On hold;30;0
10057;Senior SDE (Accessibility);Escalon Services;Open;40;0
10058;SDE Embedded;Escalon Services;Open;40;0
10060;Talent Acquisition Specialist;Loadsmart;On hold;60;0
10062;Sr. Security Engineer;AKASA;On hold;20;0
10064;Business Development Representative (BDR);Litmus;On hold;15;0
10065;SHA - FPGA Developer;Optiver Asia Pacific;On hold;13;0
10070;Demand Generation;OpenMarket;On hold;40;0
10075;Digital Product Lead;ROOM;On hold;79;1
10077;Senior Java Engineer;Chainalysis;Open;40;0
10079;Membership Manager;Industrious;Open;40;0
10080;Lead Full Stack Engineer;Upside Travel;On hold;40;0
10082;Business Intelligence Developer;Race21™;Closed;20;0
10085;Full Stack Engineers;Coltech.io;Open;0;19
10089;Senior Python Engineer;Thryve Talent;On hold;40;0
10092;Senior Director, Manufacturing and Supply Chain;Bevi;Closed;40;4
10102;Quality Engineer;LightForce Orthodontics;Closed;10;0
10103;Senior Finance Associate;Fresh Prints;On hold;20;0
10104;Director, Product Marketing;Orum;On hold;40;0
10108;Inside Sales Representative;OpenMarket;On hold;40;0
10110;Technical Customer Success Manager;Mux;On hold;20;0
10112;Growth Marketing Manager;Mockingbird;On hold;30;0
10115;Lead Cloud Engineer - Cloud COE;Work With Aptitude;On hold;40;0
10119;Front End Engineers;Coltech.io;Open;0;8
10123;Information Systems Infrastructure, Superintendent;Race21™;Open;10;0
10124;Senior Technical Recruiter;Ribbon Home;Open;40;0
10125;Senior Business Recruiter;Ribbon Home;Open;40;0
10130;Varonis Security Architect;NDK Cyber;Open;60;0
10131;Tegria Security Consultant;NDK Cyber;On hold;10;0
10133;Engagement Manager;Data.world;Open;33;0
10135;RN Case Manager- Kerrville/Fredricksburg TX;agilon health;On hold;10;0
10138;VSC Supply Chain;Coupa Software;Open;40;0
10139;Head of Product;Humm;On hold;30;0
10145;Senior Product Marketing Manager;Balto;On hold;40;10
10147;Chief Engineer, Vehicle Engineering;Atlis Motor Vehicles;On hold;10;0
10158;Back End Engineers;Coltech.io;Open;0;3
10160;UI Senior Developer;Honest;On hold;30;0
10161;Senior Fullstack Engineer - Frontend Focused;Qualli Inc ;Open;40;129
10162;Sales Analyst;Behr Paint;Closed;10;0
10163;BridgeBio X Researcher, Protein Chemistry;BridgeBio;New;0;1
10164;Claremont DVM;Vet's Best Friend;On hold;40;0
10168;Director of Sales Enablement;Balto;On hold;20;0
10170;Colonie DVM;Vet's Best Friend;On hold;20;0
10171;Director of Engineering, Charging Hardware and Network;Atlis Motor Vehicles;On hold;40;0
10177;Project Coordinator;Work With Aptitude;Closed;20;0
10179;Engineer Manager, US;Chainalysis;Open;40;0
10180;Sales Development Representative;Litmus;On hold;15;0
10181;Front End Developer - Hedge Fund;Work With Aptitude;On hold;40;0
10182;React Native Engineers;Coltech.io;New;0;1
10183;Technical Support Engineer-Supply Chain;Coupa Software;On hold;30;0
10185;Senior Reliability Engineer;James Chase;New;0;2
10190;Sr. Director of Finance;agilon health;On hold;20;0
10192;VP, FP&A;Human Security ;On hold;20;0
10195;Company Doctor;Proudly.io;Open;15;0
10196;WTI Brush Maker - Supervisor;Behr Paint;On hold;45;0
10197;Preventative Advisor;Proudly.io;Open;10;0
10198;Software Development Engineer - Embedded;Escalon Services;Open;40;0
10199;Senior SW Development Engineer - Embedded;Escalon Services;Open;40;0
10200;Preventative Advisor Psychosocial Aspects;Proudly.io;Open;15;0
10202;Android Engineer;Bending Spoons;Open;41;0
10204;Back End Engineer (Node);Coltech.io;Closed;0;7
10205;Engineering Manager (React Js);Coltech.io;Closed;0;2
10206;Python Backend Developer;Resourcing People;Closed;50;0
10207;Snr FE Dev - Adrennial;Techire.io;On hold;20;0
10209;Snr FS Developer - Adrennial;Techire.io;Open;10;0
10211;Account Development Representative - UK, Ireland & EMEA;Coupa Software;On hold;40;0
10213;Back End Engineers (Node);Coltech.io;New;0;1
10214;React Native Engineer;Coltech.io;Closed;0;1
10215;Finance Assistant;Immersive Labs;On hold;15;0
10218;G-Suite Administrator;Work With Aptitude;Closed;20;0
10223;Regulatory- Calcilytix;BridgeBio;Open;40;0
10225;Ruby on Rails Developer;Litmus;On hold;25;0
10228;Enterprise Account Executive;Litmus;On hold;15;0
10230;Sales Development Representative;RippleMatch;On hold;10;0
10233;Senior Consultant - Future Capabilities.;JGA Recruitment Group;Open;40;0
10234;Front End Engineers (Portugal);Coltech.io;New;0;239
10238;Infrastructure Lead / Senior Backend Engineer;"10Beauty";On hold;40;0
10240;Lead iOS Engineer;"10Beauty";Open;20;0
10241;CVT- Cambridge;Vet's Best Friend;On hold;40;0
10242;Lead Ruby Engineer;Resourcing People;Closed;20;0
10243;Senior Product Designer, SSTK Contributors;Shutterstock;Open;40;0
10244;Product Designer;Shutterstock;On hold;40;0
10247;Director, Business Development;ShipBob, Inc.;On hold;20;0
10249;Director, Finance Operations;Gore Mutual Insurance;On hold;40;0
10261;JavaScript Engineers (Node / React / React Native);Coltech.io;Closed;0;2
10263;Compensation and Benefits Director;Coupa Software;Open;10;0
10270;CSP, UK;Coupa Software;Open;40;1
10277;Software Engineer;AllStripes;Closed;20;0
10278;Human Resources Generalist;Loadsmart;On hold;40;0
10279;Senior Backend Engineer;Boost Insurance;On hold;20;0
10281;Program Coordinator- Grand Rapids, MI;agilon health;On hold;20;0
10282;Business Recruiter / Talent Partner;AKASA;On hold;40;0
10284;Director of Product, 3D;Shutterstock;On hold;40;0
10287;Sr QA Engineer Ru;Connected Freight;On hold;10;0
10290;Director of Customer Implementation and Integrations;Balto;On hold;30;0
10293;Senior Community Manager - Houston;Industrious;On hold;40;0
10294;Manager, Software Support;Balto;Closed;20;0
10295;Lead Scientist, Discovery Biology;BridgeBio;Open;20;0
10298;Sr. Software Engineer - Backend;Tutelacs;On hold;45;0
10300;Content Marketing Manager;ShipBob, Inc.;Closed;10;0
10301;Specialist Operating Excellence;Race21™;Open;20;0
10302;Program Coordinator- Westerville, OH;agilon health;On hold;20;0
10303;Controller;Boost Insurance;Closed;30;0
10304;SHA - Trading Systems Support Engineer;Optiver Asia Pacific;On hold;40;0
10305;eCW Administrator;Lorient Capital;Closed;30;0
10311;Android Engineer;Upside Travel;On hold;40;0
10312;Commercial Manager, Small Medium Enterprise;Gore Mutual Insurance;Open;10;0
10313;Linkedin Finds;Vet's Best Friend;New;0;25
10315;Full Stack Developer;agilon health;On hold;10;0
10317;Senior Embedded Software Engineer;"10Beauty";Open;40;0
10320;LTI - Germany BDM (hybrid);WeDiversifAi;Open;40;1
10323;UI Engineer;ReadMe;On hold;40;0
10324;Associate Director, Client Success;PerkSpot;On hold;30;1
10326;Insurtech Account Executive;Boost Insurance;Open;10;0
10333;Underdog DevOps Engineer;Emplyd;Closed;20;0
10334;Underdog Backend Engineer;Emplyd;Open;20;0
10338;Quality Tools London;Neo4j;New;0;1
10342;Product Manager General;Wealthsimple;On hold;10;0
10345;Project Manager;Devo Technology;On hold;21;0
10354;Sr. Machine Learning Engineer;Corsica Partners;Open;40;0
10355;Sales Support Specialist;First Citizens Bank;On hold;41;0
10356;Allied Mortgage Loan Officer (Charlotte, NC);Percy;Open;10;0
10357;Texas Loan Officers;Percy;Open;10;0
10358;Neuroscience Discovery - SRA, (Associate) Scientist;BridgeBio;On hold;20;0
10362;Java Engineer (guidewire);Initi8 Recruitment;Open;10;0
10363;Java engineer;Initi8 Recruitment;Open;10;0
10368;Principal Java Engineer;Thryve Talent;On hold;42;0
10370;Account Manager;Ribbon Home;On hold;40;0
10372;Fetcher peeps;Fetcher;Open;0;1
10374;Pro Paint Sales Specialist;Behr Paint;On hold;40;0
10375;Life Insurance Sales Trainer;Sproutt Insurance;Open;0;1
10376;Senior RPA Developer;Kadiant;On hold;40;0
10378;Technical Architect;Coltech.io;Closed;0;27
10379;Data Scientist;Ribbon Home;On hold;10;0
10380;Frontend, Growth (Amitav);Splice;On hold;0;5
10381;Sr Software Eng Follow Up;AllStripes;Closed;0;32
10382;Demand Generation;RippleMatch;On hold;20;0
10383;Sales/ Account Executive (Remote);IMAJION;Open;40;0
10385;Software Eng Follow Up;AllStripes;Closed;0;32
10391;Senior Financial Analyst;Lorient Capital;Open;30;0
10392;Accounting and Financial Reporting Manager;Lorient Capital;On hold;20;0
